time(100ns)   time_stamp(ms)    frame eye_valid_L   eye_valid_R   openness_L    openness_R    pupil_diameter_L(mm)  pupil_diameter_R(mm)  pos_sensor_L.x    pos_sensor_L.y    pos_sensor_R.x    pos_sensor_R.y    gaze_origin_L.x(mm)   gaze_origin_L.y(mm)   gaze_origin_L.z(mm)   gaze_origin_R.x(mm)   gaze_origin_R.y(mm)   gaze_origin_R.z(mm)   gaze_direct_L.x   gaze_direct_L.y   gaze_direct_L.z   gaze_direct_R.x   gaze_direct_R.y   gaze_direct_R.z   gaze_sensitive    frown_L   frown_R   squeeze_L squeeze_R wide_L    wide_R    distance_valid_C  distance_C(mm)    track_imp_cnt
638227775144814682  1187255   26690    31  31  0.7679296   0.8526387   4.258682 4.467117 0.4099517   0.6729044   0.4082538   0.6201104   35.02585  0.2388458  -31.60115  -29.67731  1.776779  -32.53273  0.1955719  -0.3565521  0.913559  0.2117462  -0.3205414  0.9232483  1   0  0  0    0    0   0   False 0   0
638227775145019226  1187272   26692    31  31  0.7702538   0.8336188   4.29982 4.415436 0.4107963   0.6711972   0.4099081   0.6192413   35.0177  0.2538147  -31.59262  -29.7095  1.80246  -32.52589  0.1918182  -0.3495331  0.9170685  0.2079468  -0.3215485  0.9237671  1   0  0  0    0    0   0   False 0   0
638227775145169585  1187297   26695    31  31  0.8010431   0.8461076   4.285889 4.383957 0.4176352   0.6641031   0.4216686   0.6129875   34.92979  0.2837982  -31.54964  -29.88182  1.859589  -32.48602  0.1665649  -0.3133087  0.9349213  0.1690369  -0.2982483  0.9393921  1   0  0  0    0    0   0   False 0   0
638227775145377372  1187305   26696    31  31  0.8010431   0.8461076   4.199646 4.256638 0.4197233   0.6638401   0.4231244   0.6111387   34.89569  0.2886963  -31.54034  -29.93623  1.868301  -32.4838  0.160614  -0.3139191  0.9357605  0.1716461  -0.2885742  0.9419403  1   0  0  0    0    0   0   False 0   0
638227775145507037  1187322   26698    31  31  0.7980559   0.8598983   4.172897 4.397659 0.42516   0.6623933   0.4311995   0.6123489   34.82295  0.3187714  -31.51482  -30.04356  1.871811  -32.4747  0.1402435  -0.3139801  0.9390106  0.1427307  -0.2984467  0.9436798  1   0  0  0    0    0   0   False 0   0
638227775145696517  1187338   26700    31  31  0.8145172   0.8505324   4.356995 4.429901 0.4282964   0.6608858   0.4322007   0.6118316   34.79671  0.3319855  -31.49791  -30.08751  1.886551  -32.47035  0.1235504  -0.3079834  0.9433289  0.1469116  -0.2987213  0.9429474  1   0  0  0    0    0   0   False 0   0
638227775145832390  1187363   26703    31  31  0.8368698   0.863946   4.252472 4.342926 0.4316023   0.6600538   0.4374346   0.6119074   34.72403  0.331543  -31.48819  -30.16028  1.889267  -32.46959  0.1190338  -0.3031769  0.9454651  0.1277466  -0.3005066  0.9451752  1   0  0  0    0    0   0   False 0   0
638227775146039999  1187372   26704    31  31  0.8368698   0.863946   4.254364 4.36879 0.4340057   0.6610811   0.4385203   0.6116364   34.6978  0.334198  -31.48076  -30.20251  1.890533  -32.46837  0.108017  -0.311615  0.944046  0.1308441  -0.2990723  0.9452057  1   0  0  0    0    0   0   False 0   0
638227775146169656  1187388   26706    31  31  0.8724874   0.850152   4.289322 4.382919 0.4399545   0.6583323   0.4469151   0.609319   34.5885  0.3823853  -31.45163  -30.31451  1.93309  -32.45651  0.09324646  -0.3065796  0.9472504  0.09977722  -0.2949982  0.9502716  1   0  0  0    0    0   0   False 0   0
638227775146368141  1187397   26707    31  31  0.8724874   0.850152   4.159531 4.332901 0.4457624   0.6545273   0.4504161   0.6057842   34.51663  0.4218292  -31.42787  -30.38297  1.983749  -32.43584  0.07060242  -0.2926483  0.953598  0.0919342  -0.2850647  0.9540863  1   0  0  0    0    0   0   False 0   0
638227775146577570  1187430   26711    31  31  0.8650454   0.8516642   4.234116 4.36055 0.4471532   0.6539223   0.4506267   0.605486   34.50653  0.4405212  -31.42032  -30.38823  1.997131  -32.43082  0.06265259  -0.2933502  0.9539337  0.0919342  -0.2865143  0.9536438  1   0  0  0    0    0   0   False 0   0
638227775146727176  1187438   26712    31  31  0.8753782   0.8130943   4.215164 4.348618 0.447858   0.6516941   0.4526045   0.6045324   34.52859  0.4811554  -31.40454  -30.37856  2.0215  -32.42229  0.05201721  -0.289444  0.9557648  0.07539368  -0.2866364  0.9550629  1   0  0  0    0    0   0   False 0   0
638227775146836876  1187463   26715    31  31  0.7787521   0.8183774   4.35379 4.447235 0.3984184   0.6185548   0.3971118   0.5656507   35.30772  1.033295  -31.45711  -29.35458  2.599899  -32.43567  0.2170105  -0.1877747  0.9579315  0.2114868  -0.15625  0.964798  1   0  0  0    0    0   0   False 0   0
638227775147046313  1187472   26716    31  31  0.7787521   0.8183774   4.35379 4.447235 0.3984184   0.6185548   0.3971118   0.5656507   35.30772  1.033295  -31.45711  -29.35458  2.599899  -32.43567  0.2170105  -0.1877747  0.9579315  0.2114868  -0.15625  0.964798  1   0  0  0    0    0   0   False 0   0
638227775147175977  1187488   26718    31  31  0.7681673   0.9068608   4.296738 4.440765 0.3679948   0.6106026   0.3651684   0.5551384   35.8269  1.127411  -31.6163  -28.80817  2.826401  -32.48721  0.3043365  -0.1398468  0.9422302  0.2972412  -0.1310272  0.945755  1   0  0  0    0    0   0   False 0   0
638227775147281425  1187497   26719    31  31  0.7681673   0.9068608   4.206131 4.516632 0.3741454   0.6120353   0.374153   0.5583085   35.79416  1.069794  -31.58841  -28.97748  2.759842  -32.46686  0.2683411  -0.1404572  0.9530182  0.2778473  -0.1389465  0.9505157  1   0  0  0    0    0   0   False 0   0
638227775147480893  1187522   26722    31  31  0.8355075   0.9776181   4.206131 4.516632 0.3741454   0.6120353   0.374153   0.5583085   35.79416  1.069794  -31.58841  -28.97748  2.759842  -32.46686  0.2683411  -0.1404572  0.9530182  0.2778473  -0.1389465  0.9505157  1   0  0  0    0    0   0   False 0   0
638227775147700308  1187538   26724    31  31  0.835438   0.9874495   4.217255 4.37619 0.3812365   0.6101997   0.3843578   0.5582324   35.67346  1.070251  -31.55716  -29.13429  2.696457  -32.45645  0.248764  -0.1302948  0.9597473  0.2451935  -0.1258545  0.9612579  1   0  0  0    0    0   0   False 0   0
638227775147929692  1187572   26728    31  31  1   1   4.134445 4.417282 0.3950447   0.6116577   0.3970344   0.5617389   35.43985  1.044067  -31.48692  -29.42113  2.632324  -32.46808  0.2091064  -0.1410522  0.9676514  0.228302  -0.1344147  0.9642639  1   0  0  0    0    0.0725432   0.0725432   False 0   0
